customer_id,name,gender,email,phone_number,account_age,last_login,num_transactions,avg_transaction_value,total_support_time,num_support_interactions,churn
1,Miss Kelly Obrien,Male,hodgessara@example.net,+1-914-910-7093x2769,54,2024-04-20,40,445.0884442002813,79.02618152230065,0,1
2,Sarah Oliver,Female,aaronsanchez@example.com,001-839-277-8709x20111,17,2024-05-23,90,440.6255105483527,142.64137665652353,8,0
3,Marvin Bray,Male,maurice20@example.com,654.337.2478x36183,9,2024-04-24,55,412.6664300529295,39.84305497881062,8,0
4,Claudia Blackburn,Male,chambersmarco@example.org,(214)465-7235x116,33,2024-04-19,87,405.5136963381776,178.04300052723488,7,0
5,Mrs. Tanya Berry,Male,kathleen44@example.net,+1-765-817-8598x78238,53,2024-03-12,39,187.10561259411836,57.48191929311594,7,0
6,Travis Lee,Female,michaelpatrick@example.com,339.217.6232,20,2024-04-05,15,86.41367737306348,73.55719755123059,0,1
7,Howard Johnson,Male,brittanyballard@example.net,686.446.6832,13,2024-02-25,4,231.34108044432264,11.618390416069957,7,1
8,Alexander Chang,Male,tinarobinson@example.org,289-585-9476,28,2024-10-26,93,128.0860317439289,22.30244246425528,9,0
9,Christopher Green,Male,vford@example.com,562-900-7313,48,2024-05-27,86,362.72799000610775,103.17238054246562,2,0
10,Daniel Campbell,Female,jjames@example.com,001-756-643-9581,29,2024-02-21,25,205.7448769420035,53.5185353455943,6,0
11,Kelly Mitchell,Male,ebooker@example.com,001-855-580-1723x7175,13,2024-05-29,13,489.0245903869617,167.0960451484389,0,0
12,Adrian Mathews,Male,yvonne58@example.net,001-404-919-9234x29193,46,2024-07-13,82,338.4374348053994,2.9386777309907686,0,1
13,Shane Anderson,Male,myersvictoria@example.net,461.492.6562x040,35,2024-05-28,33,420.11625363546244,75.81880973438724,9,0
14,Tristan Duncan,Male,miasmith@example.net,001-790-457-6208x34825,6,2024-02-11,16,109.63610273383179,67.46910935381854,4,1
15,Dr. Renee Campbell,Female,carol38@example.org,825-327-1270x41902,18,2024-08-13,42,437.90651702268013,3.865526183520207,4,1
16,Michael Cooke,Male,yhumphrey@example.org,456-748-9558x9148,51,2024-08-29,66,465.2407357310274,24.873679800102046,7,0
17,Adam Cox,Female,ssalas@example.org,001-769-264-9877x8889,5,2024-05-15,55,269.1778634685212,82.72853498372706,6,0
18,Kristin Stanley,Female,ellisonkelly@example.net,423.928.0608x911,47,2024-07-22,99,322.81382198793983,98.57291688948932,7,0
19,Dawn Montgomery,Female,pgardner@example.net,(924)777-1675,25,2024-01-16,42,394.16441040634794,80.85794945097382,5,1
20,Kurt Terry,Male,vmanning@example.org,(557)231-2937,2,2024-04-16,34,128.67738226718564,106.18753568241877,5,1
21,George Mcdonald,Female,kylemay@example.net,903-466-0652x52335,10,2024-07-06,30,276.1547344085491,119.0263349811363,1,0
